代码,名称,层级,成本价,持仓量,买入日期,入选理由
000338,潍柴动力,埋伏,,,,基本面尚可(毛利21%/ROE12%)
000400,许继电气,埋伏,,,,基本面尚可(毛利23%/ROE10%); 热门赛道(电网设备)
000426,兴业银锡,埋伏,,,,基本面尚可(毛利58%/ROE20%); 高毛利优质; 高增长(营收+30%)
000603,盛达资源,埋伏,,,,基本面尚可(毛利58%/ROE16%); 高毛利优质; 高增长(营收+22%)
000792,盐湖股份,埋伏,,,,基本面尚可(毛利58%/ROE22%); 高毛利优质
000833,粤桂股份,埋伏,,,,基本面尚可(毛利35%/ROE13%); 高毛利优质
000968,蓝焰控股,埋伏,,,,基本面尚可(毛利31%/ROE6%); 高毛利优质
000969,安泰科技,埋伏,,,,热门赛道(金属新材料)
000977,浪潮信息,埋伏,,,,热门赛道(计算机设备); 高增长(营收+43%)
000988,华工科技,埋伏,,,,基本面尚可(毛利21%/ROE14%); 热门赛道(自动化设备); 高增长(营收+23%)
002008,大族激光,埋伏,,,,基本面尚可(毛利33%/ROE7%); 热门赛道(自动化设备); 高毛利优质
002028,思源电气,埋伏,,,,行业龙头; 基本面尚可(毛利31%/ROE23%); 热门赛道(电网设备); 高毛利优质; 高增长(营收+39%)
002050,三花智控,埋伏,,,,行业龙头; 基本面尚可(毛利29%/ROE16%)
002080,中材科技,埋伏,,,,高增长(营收+26%)
002130,沃尔核材,埋伏,,,,行业龙头; 基本面尚可(毛利32%/ROE19%); 热门赛道(其他电子Ⅱ); 高毛利优质; 高增长(营收+22%)
002156,通富微电,埋伏,,,,热门赛道(半导体)
002158,汉钟精机,埋伏,,,,基本面尚可(毛利34%/ROE11%); 高毛利优质
002179,中航光电,埋伏,,,,行业龙头; 基本面尚可(毛利29%/ROE9%); 热门赛道(军工电子Ⅱ)
002185,华天科技,埋伏,,,,热门赛道(半导体)
002222,福晶科技,埋伏,,,,基本面尚可(毛利51%/ROE16%); 热门赛道(光学光电子); 高毛利优质
002273,水晶光电,埋伏,,,,行业龙头; 基本面尚可(毛利31%/ROE12%); 热门赛道(光学光电子); 高毛利优质
002281,光迅科技,埋伏,,,,基本面尚可(毛利23%/ROE10%); 热门赛道(通信设备)
002335,科华数据,埋伏,,,,基本面尚可(毛利25%/ROE7%)
002371,北方华创,埋伏,,,,行业龙头; 基本面尚可(毛利40%/ROE16%); 热门赛道(半导体); 高毛利优质; 高增长(营收+31%)
002384,东山精密,埋伏,,,,热门赛道(元件)
002409,雅克科技,埋伏,,,,行业龙头; 基本面尚可(毛利31%/ROE13%); 热门赛道(半导体); 高毛利优质; 高增长(营收+25%)
002441,众业达,埋伏,,,,热门赛道(电网设备)
002460,赣锋锂业,埋伏,,,,行业龙头; 高增长(营收+22%)
002463,沪电股份,埋伏,,,,行业龙头; 基本面尚可(毛利35%/ROE29%); 热门赛道(元件); 高毛利优质; 高增长(营收+42%)
002472,双环传动,埋伏,,,,行业龙头; 基本面尚可(毛利27%/ROE13%)
002475,立讯精密,埋伏,,,,行业龙头; 热门赛道(消费电子); 高增长(营收+24%)
002484,江海股份,埋伏,,,,基本面尚可(毛利24%/ROE11%); 热门赛道(元件)
002517,恺英网络,埋伏,,,,基本面尚可(毛利81%/ROE23%); 高毛利优质
002518,科士达,埋伏,,,,基本面尚可(毛利29%/ROE13%); 高增长(营收+27%)
002709,天赐材料,埋伏,,,,基本面尚可(毛利22%/ROE10%); 热门赛道(电池); 高增长(营收+33%)
002716,湖南白银,埋伏,,,,高增长(营收+50%)
002802,洪汇新材,埋伏,,,,基本面尚可(毛利25%/ROE6%)
002897,意华股份,埋伏,,,,热门赛道(通信设备)
002916,深南电路,埋伏,,,,行业龙头; 基本面尚可(毛利28%/ROE21%); 热门赛道(元件); 高增长(营收+32%)
003031,中瓷电子,埋伏,,,,基本面尚可(毛利37%/ROE9%); 热门赛道(通信设备); 高毛利优质
003816,中国广核,埋伏,,,,基本面尚可(毛利32%/ROE9%); 高毛利优质
300014,亿纬锂能,埋伏,,,,行业龙头; 热门赛道(电池); 高增长(营收+26%)
300037,新宙邦,埋伏,,,,基本面尚可(毛利24%/ROE11%); 热门赛道(电池); 高增长(营收+23%)
300054,鼎龙股份,埋伏,,,,基本面尚可(毛利51%/ROE13%); 热门赛道(电子化学品Ⅱ); 高毛利优质
300207,欣旺达,埋伏,,,,热门赛道(电池)
300274,阳光电源,埋伏,,,,行业龙头; 基本面尚可(毛利32%/ROE31%); 热门赛道(光伏设备); 高毛利优质
300308,中际旭创,埋伏,,,,行业龙头; 基本面尚可(毛利42%/ROE44%); 热门赛道(通信设备); 高毛利优质; 高增长(营收+60%)
300346,南大光电,埋伏,,,,行业龙头; 基本面尚可(毛利40%/ROE9%); 热门赛道(电子化学品Ⅱ); 高毛利优质
300394,天孚通信,埋伏,,,,基本面尚可(毛利54%/ROE42%); 热门赛道(通信设备); 高毛利优质
300395,菲利华,埋伏,,,,基本面尚可(毛利47%/ROE10%); 热门赛道(航空装备Ⅱ); 高毛利优质
300442,润泽科技,埋伏,,,,行业龙头; 基本面尚可(毛利46%/ROE42%); 高毛利优质; 高增长(营收+30%)
300502,新易盛,埋伏,,,,行业龙头; 基本面尚可(毛利48%/ROE73%); 热门赛道(通信设备); 高毛利优质; 高增长(营收+187%)
300563,神宇股份,埋伏,,,,基本面尚可(毛利21%/ROE7%); 热门赛道(通信设备)
300570,太辰光,埋伏,,,,基本面尚可(毛利38%/ROE18%); 热门赛道(通信设备); 高毛利优质
300602,飞荣达,埋伏,,,,热门赛道(消费电子); 高增长(营收+25%)
300604,长川科技,埋伏,,,,基本面尚可(毛利55%/ROE33%); 热门赛道(半导体); 高毛利优质; 高增长(营收+45%)
300655,晶瑞电材,埋伏,,,,基本面尚可(毛利25%/ROE6%); 热门赛道(电子化学品Ⅱ)
300666,江丰电子,埋伏,,,,行业龙头; 基本面尚可(毛利27%/ROE11%); 热门赛道(半导体); 高增长(营收+28%)
300684,中石科技,埋伏,,,,基本面尚可(毛利36%/ROE16%); 热门赛道(电子化学品Ⅱ); 高毛利优质
300750,宁德时代,埋伏,,,,行业龙头; 基本面尚可(毛利26%/ROE25%); 热门赛道(电池)
300820,英杰电气,埋伏,,,,基本面尚可(毛利35%/ROE9%); 高毛利优质
301165,锐捷网络,埋伏,,,,基本面尚可(毛利35%/ROE15%); 热门赛道(通信设备); 高毛利优质
301269,华大九天,埋伏,,,,热门赛道(软件开发)
600026,中远海能,埋伏,,,,基本面尚可(毛利26%/ROE10%)
600096,云天化,埋伏,,,,基本面尚可(毛利20%/ROE22%)
600111,北方稀土,埋伏,,,,高增长(营收+29%)
600160,巨化股份,埋伏,,,,行业龙头; 基本面尚可(毛利28%/ROE20%)
600176,中国巨石,埋伏,,,,行业龙头; 基本面尚可(毛利33%/ROE11%); 高毛利优质
600183,生益科技,埋伏,,,,行业龙头; 基本面尚可(毛利26%/ROE21%); 热门赛道(元件); 高增长(营收+39%)
600211,XD西藏药,埋伏,,,,基本面尚可(毛利94%/ROE27%); 高毛利优质
600354,敦煌种业,埋伏,,,,基本面尚可(毛利37%/ROE7%); 高毛利优质
600367,红星发展,埋伏,,,,基本面尚可(毛利24%/ROE4%)
600392,盛和资源,埋伏,,,,高增长(营收+32%)
600406,国电南瑞,埋伏,,,,行业龙头; 基本面尚可(毛利26%/ROE16%); 热门赛道(电网设备)
600487,亨通光电,埋伏,,,,行业龙头; 热门赛道(通信设备)
600498,烽火通信,埋伏,,,,行业龙头; 基本面尚可(毛利21%/ROE3%); 热门赛道(通信设备)
600583,海油工程,埋伏,,,,行业龙头
600584,长电科技,埋伏,,,,热门赛道(半导体)
600989,宝丰能源,埋伏,,,,行业龙头; 基本面尚可(毛利36%/ROE25%); 高毛利优质; 高增长(营收+46%)
601138,工业富联,埋伏,,,,行业龙头; 热门赛道(消费电子); 高增长(营收+48%)
601727,上海电气,埋伏,,,,行业龙头
601877,正泰电器,埋伏,,,,基本面尚可(毛利26%/ROE10%); 热门赛道(电网设备)
601985,中国核电,埋伏,,,,基本面尚可(毛利41%/ROE8%); 高毛利优质
603004,鼎龙科技,埋伏,,,,基本面尚可(毛利37%/ROE7%); 高毛利优质
603005,晶方科技,埋伏,,,,基本面尚可(毛利47%/ROE8%); 热门赛道(半导体); 高毛利优质; 高增长(营收+30%)
603019,中科曙光,埋伏,,,,基本面尚可(毛利31%/ROE10%); 热门赛道(计算机设备); 高毛利优质
603078,江化微,埋伏,,,,基本面尚可(毛利27%/ROE5%); 热门赛道(电子化学品Ⅱ)
603127,昭衍新药,埋伏,,,,基本面尚可(毛利21%/ROE4%)
603186,华正新材,埋伏,,,,热门赛道(元件)
603191,望变电气,埋伏,,,,热门赛道(电网设备)
603228,景旺电子,埋伏,,,,基本面尚可(毛利22%/ROE10%); 热门赛道(元件); 高增长(营收+21%)
603379,三美股份,埋伏,,,,基本面尚可(毛利51%/ROE28%); 高毛利优质; 高增长(营收+45%)
603893,瑞芯微,埋伏,,,,基本面尚可(毛利42%/ROE26%); 热门赛道(半导体); 高毛利优质; 高增长(营收+40%)
603986,兆易创新,埋伏,,,,行业龙头; 基本面尚可(毛利40%/ROE9%); 热门赛道(半导体); 高毛利优质
603993,洛阳钼业,埋伏,,,,基本面尚可(毛利24%/ROE27%)
605020,永和股份,埋伏,,,,基本面尚可(毛利25%/ROE12%)
605589,圣泉集团,埋伏,,,,基本面尚可(毛利25%/ROE10%)
688008,澜起科技,埋伏,,,,行业龙头; 基本面尚可(毛利62%/ROE18%); 热门赛道(半导体); 高毛利优质
688012,中微公司,埋伏,,,,行业龙头; 基本面尚可(毛利39%/ROE10%); 热门赛道(半导体); 高毛利优质
688019,安集科技,埋伏,,,,行业龙头; 基本面尚可(毛利57%/ROE25%); 热门赛道(电子化学品Ⅱ); 高毛利优质; 高增长(营收+36%)
688072,拓荆科技,埋伏,,,,基本面尚可(毛利35%/ROE16%); 热门赛道(半导体); 高毛利优质
688082,盛美上海,埋伏,,,,行业龙头; 基本面尚可(毛利48%/ROE15%); 热门赛道(半导体); 高毛利优质; 高增长(营收+21%)
688106,XD金宏气,埋伏,,,,基本面尚可(毛利30%/ROE4%); 热门赛道(电子化学品Ⅱ)
688120,华海清科,埋伏,,,,行业龙头; 基本面尚可(毛利42%/ROE16%); 热门赛道(半导体); 高毛利优质; 高增长(营收+36%)
688138,清溢光电,埋伏,,,,基本面尚可(毛利31%/ROE8%); 热门赛道(半导体); 高毛利优质
688158,优刻得-W,埋伏,,,,热门赛道(IT服务Ⅱ)
688190,铜冠铜箔,埋伏,,,,基本面尚可(毛利28%/ROE11%); 热门赛道(金属新材料)
688200,华峰测控,埋伏,,,,基本面尚可(毛利74%/ROE14%); 热门赛道(半导体); 高毛利优质
688249,晶合集成,埋伏,,,,基本面尚可(毛利26%/ROE3%); 热门赛道(半导体)
688268,华特气体,埋伏,,,,基本面尚可(毛利31%/ROE7%); 热门赛道(电子化学品Ⅱ); 高毛利优质
688300,联瑞新材,埋伏,,,,基本面尚可(毛利41%/ROE18%); 高毛利优质
688313,仕佳光子,埋伏,,,,基本面尚可(毛利33%/ROE27%); 热门赛道(通信设备); 高毛利优质
688521,芯原股份,埋伏,,,,热门赛道(半导体)
688676,金盘科技,埋伏,,,,基本面尚可(毛利26%/ROE14%); 热门赛道(电网设备)
688702,盛科通信-U,埋伏,,,,热门赛道(半导体)
688037,芯源微,埋伏,,,,"涂胶显影设备龙头,YMTC核心供应商"
688361,中科飞测,埋伏,,,,"半导体检测设备,YMTC量测需求"
688126,沪硅产业,埋伏,,,,"300mm大硅片,SOI硅片唯一,中国唯一打入YMTC供应链的硅片厂"
688409,富创精密,埋伏,,,,"半导体精密零部件,国产替代核心"
688535,华海诚科,埋伏,,,,"EMC塑封料,先进封装材料"
688519,南亚新材,埋伏,,,,"高速覆铜板,存储封装基板材料"
688525,佰维存储,埋伏,,,,"存储模组/eMMC/SSD,YMTC下游客户"
301377,鼎泰高科,埋伏,,,,"PCB微型钻头全球龙头,毛利53%/净利32%,AI算力→PCB→微钻耗材增量"
